rank,qini
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,1.0
50,1.0
51,1.0
52,-1.0038486811226885
53,-1.0038486811226885
54,-1.0038486811226885
55,-1.0038486811226885
56,-1.0038486811226885
57,-1.0038486811226885
58,-1.0038486811226885
59,-1.0038486811226885
60,-1.0038486811226885
61,-1.0038486811226885
62,-1.0038486811226885
63,-1.0038486811226885
64,-1.0038486811226885
65,-1.0038486811226885
66,-1.0038486811226885
67,-1.0038486811226885
68,-1.0038486811226885
69,-1.0038486811226885
70,-1.0038486811226885
71,-1.0038486811226885
72,-1.0038486811226885
73,-1.0038486811226885
74,-1.0038486811226885
75,-1.0038486811226885
76,-1.0038486811226885
77,-1.0038486811226885
78,-1.0038486811226885
79,-1.0038486811226885
80,-1.0038486811226885
81,-1.0038486811226885
82,-1.0038486811226885
83,-1.0038486811226885
84,-1.0038486811226885
85,-0.0038486811226885465
86,-0.0038486811226885465
87,-0.0038486811226885465
88,0.9961513188773115
89,0.9961513188773115
90,0.9961513188773115
91,0.9961513188773115
92,0.9961513188773115
93,0.9961513188773115
94,0.9961513188773115
95,0.9961513188773115
96,0.9961513188773115
97,0.9961513188773115
98,0.9961513188773115
99,0.9961513188773115
100,0.9961513188773115
101,0.9961513188773115
102,0.9961513188773115
103,0.9961513188773115
104,0.9961513188773115
105,0.9961513188773115
106,0.9961513188773115
107,0.9961513188773115
108,0.9961513188773115
109,0.9961513188773115
110,0.9961513188773115
111,0.9961513188773115
112,0.9961513188773115
113,0.9961513188773115
114,0.9961513188773115
115,0.9961513188773115
116,0.9961513188773115
117,0.9961513188773115
118,0.9961513188773115
119,0.9961513188773115
120,0.9961513188773115
121,0.9961513188773115
122,0.9961513188773115
123,0.9961513188773115
124,0.9961513188773115
125,0.9961513188773115
126,0.9961513188773115
127,0.9961513188773115
128,0.9961513188773115
129,0.9961513188773115
130,0.9961513188773115
131,0.9961513188773115
132,0.9961513188773115
133,0.9961513188773115
134,0.9961513188773115
135,0.9961513188773115
136,0.9961513188773115
137,0.9961513188773115
138,0.9961513188773115
139,0.9961513188773115
140,0.9961513188773115
141,0.9961513188773115
142,0.9961513188773115
143,0.9961513188773115
144,0.9961513188773115
145,0.9961513188773115
146,0.9961513188773115
147,0.9961513188773115
148,0.9961513188773115
149,0.9961513188773115
150,0.9961513188773115
151,0.9961513188773115
152,0.9961513188773115
153,0.9961513188773115
154,0.9961513188773115
155,0.9961513188773115
156,0.9961513188773115
157,0.9961513188773115
158,0.9961513188773115
159,0.9961513188773115
160,0.9961513188773115
161,0.9961513188773115
162,0.9961513188773115
163,0.9961513188773115
164,0.9961513188773115
165,0.9961513188773115
166,0.9961513188773115
167,0.9961513188773115
168,0.9961513188773115
169,0.9961513188773115
170,0.9961513188773115
171,0.9961513188773115
172,0.9961513188773115
173,0.9961513188773115
174,0.9961513188773115
175,0.9961513188773115
176,0.9961513188773115
177,0.9961513188773115
178,0.9961513188773115
179,0.9961513188773115
180,0.9961513188773115
181,0.9961513188773115
182,0.9961513188773115
183,0.9961513188773115
184,0.9961513188773115
185,0.9961513188773115
186,0.9961513188773115
187,0.9961513188773115
188,0.9961513188773115
189,0.9961513188773115
190,0.9961513188773115
191,0.9961513188773115
192,0.9961513188773115
193,0.9961513188773115
194,0.9961513188773115
195,0.9961513188773115
196,0.9961513188773115
197,0.9961513188773115
198,0.9961513188773115
199,0.9961513188773115
200,0.9961513188773115
201,0.9961513188773115
202,0.9961513188773115
203,0.9961513188773115
204,0.9961513188773115
205,0.9961513188773115
206,0.9961513188773115
207,0.9961513188773115
208,0.9961513188773115
209,0.9961513188773115
210,0.9961513188773115
211,0.9961513188773115
212,0.9961513188773115
213,0.9961513188773115
214,0.9961513188773115
215,0.9961513188773115
216,0.9961513188773115
217,0.9961513188773115
218,0.9961513188773115
219,0.9961513188773115
220,0.9961513188773115
221,0.9961513188773115
222,0.9961513188773115
223,0.9961513188773115
224,0.9961513188773115
225,0.9961513188773115
226,0.9961513188773115
227,0.9961513188773115
228,0.9961513188773115
229,0.9961513188773115
230,0.9961513188773115
231,0.9961513188773115
232,0.9961513188773115
233,0.9961513188773115
234,0.9961513188773115
235,0.9961513188773115
236,0.9961513188773115
237,0.9961513188773115
238,0.9961513188773115
239,0.9961513188773115
240,0.9961513188773115
241,0.9961513188773115
242,0.9961513188773115
243,0.9961513188773115
244,0.9961513188773115
245,0.9961513188773115
246,0.9961513188773115
247,0.9961513188773115
248,0.9961513188773115
249,0.9961513188773115
250,0.9961513188773115
251,0.9961513188773115
252,0.9961513188773115
253,0.9961513188773115
254,0.9961513188773115
255,0.9961513188773115
256,0.9961513188773115
257,0.9961513188773115
258,0.9961513188773115
259,0.9961513188773115
260,0.9961513188773115
261,0.9961513188773115
262,1.9961513188773115
263,1.9961513188773115
264,1.9961513188773115
265,1.9961513188773115
266,1.9961513188773115
267,1.9961513188773115
268,1.9961513188773115
269,1.9961513188773115
270,1.9961513188773115
271,1.9961513188773115
272,1.9961513188773115
273,1.9961513188773115
274,1.9961513188773115
275,1.9961513188773115
276,1.9961513188773115
277,1.9961513188773115
278,1.9961513188773115
279,1.9961513188773115
280,1.9961513188773115
281,1.9961513188773115
282,1.9961513188773115
283,1.9961513188773115
284,1.9961513188773115
285,1.9961513188773115
286,1.9961513188773115
287,1.9961513188773115
288,1.9961513188773115
289,1.9961513188773115
290,1.9961513188773115
291,1.9961513188773115
292,1.9961513188773115
293,1.9961513188773115
294,1.9961513188773115
295,1.9961513188773115
296,1.9961513188773115
297,1.9961513188773115
298,1.9961513188773115
299,1.9961513188773115
300,1.9961513188773115
301,1.9961513188773115
302,1.9961513188773115
303,2.9961513188773115
304,2.9961513188773115
305,2.9961513188773115
306,2.9961513188773115
307,2.9961513188773115
308,2.9961513188773115
309,2.9961513188773115
310,2.9961513188773115
311,2.9961513188773115
312,2.9961513188773115
313,2.9961513188773115
314,2.9961513188773115
315,2.9961513188773115
316,2.9961513188773115
317,2.9961513188773115
318,2.9961513188773115
319,2.9961513188773115
320,2.9961513188773115
321,2.9961513188773115
322,2.9961513188773115
323,2.9961513188773115
324,2.9961513188773115
325,2.9961513188773115
326,2.9961513188773115
327,2.9961513188773115
328,2.9961513188773115
329,2.9961513188773115
330,2.9961513188773115
331,2.9961513188773115
